index,iou0,iou1,miou
0,0.913426,0.232005,0.572715
1,0.884016,0.162498,0.523257
2,0.939845,0.464576,0.702210
3,0.897362,0.147836,0.522599
4,0.928455,0.359004,0.643729
5,0.942502,0.437633,0.690067
6,0.886404,0.033192,0.459798
7,0.939825,0.237903,0.588864
8,0.936745,0.289148,0.612947
9,0.931162,0.094054,0.512608
10,0.919197,0.248964,0.584081
11,0.893682,0.090376,0.492029
12,0.874267,0.136751,0.505509
13,0.884251,0.133840,0.509045
14,0.914422,0.301673,0.608047
15,0.869932,0.111081,0.490507
16,0.953454,0.413664,0.683559
17,0.893156,0.053058,0.473107
