index,iou0,iou1,miou
0,0.849157,0.147022,0.498090
1,0.814551,0.144142,0.479347
2,0.937433,0.500489,0.718961
3,0.854186,0.188616,0.521401
4,0.840564,0.158631,0.499598
5,0.835173,0.127522,0.481347
6,0.890015,0.218729,0.554372
7,0.841143,0.015519,0.428331
8,0.833339,0.040143,0.436741
9,0.840746,0.008232,0.424489
10,0.896305,0.284231,0.590268
11,0.839395,0.130521,0.484958
12,0.910153,0.412289,0.661221
13,0.833740,0.170010,0.501875
14,0.909061,0.377317,0.643189
15,0.938151,0.537079,0.737615
16,0.918588,0.315446,0.617017
17,0.848386,0.106551,0.477469
18,0.823469,0.165161,0.494315
19,0.833149,0.042140,0.437645
20,0.868203,0.063274,0.465738
21,0.860129,0.073334,0.466732
22,0.891833,0.391697,0.641765
23,0.932348,0.374244,0.653296
24,0.924730,0.352132,0.638431
25,0.840739,0.074327,0.457533
26,0.911636,0.160050,0.535843
27,0.919898,0.297875,0.608887
28,0.920949,0.336507,0.628728
29,0.914305,0.370662,0.642483
30,0.779228,0.062793,0.421010
31,0.817787,0.183692,0.500739
32,0.923000,0.431833,0.677417
33,0.891292,0.078851,0.485072
34,0.903348,0.346209,0.624778
35,0.930738,0.388320,0.659529
36,0.917633,0.288452,0.603043
37,0.930428,0.470732,0.700580
38,0.818850,0.121373,0.470112
39,0.894734,0.242153,0.568443
40,0.814290,0.091525,0.452907
41,0.913260,0.363585,0.638422
42,0.907392,0.269614,0.588503
43,0.807791,0.135554,0.471672
44,0.804389,0.122092,0.463241
45,0.805289,0.153978,0.479633
46,0.836964,0.177195,0.507080
47,0.812791,0.125336,0.469063
48,0.843959,0.111285,0.477622
49,0.910826,0.251666,0.581246
50,0.842716,0.078867,0.460791
51,0.919950,0.256545,0.588248
52,0.833462,0.177159,0.505311
53,0.853511,0.136748,0.495129
54,0.843059,0.116845,0.479952
55,0.901691,0.158274,0.529982
56,0.904709,0.318180,0.611444
57,0.825873,0.106061,0.465967
58,0.946226,0.461514,0.703870
59,0.844949,0.175280,0.510114
60,0.916419,0.339303,0.627861
mean,0.871607,0.218441,0.545024
