index,iou0,iou1,miou
0,0.891749,0.214149,0.552949
1,0.839037,0.143809,0.491423
2,0.835216,0.157773,0.496495
3,0.846567,0.170703,0.508635
4,0.855158,0.162445,0.508802
5,0.919152,0.382610,0.650881
6,0.822163,0.068302,0.445233
7,0.894144,0.010178,0.452161
8,0.931828,0.284130,0.607979
9,0.871508,0.026074,0.448791
10,0.889309,0.248216,0.568763
11,0.912027,0.344497,0.628262
12,0.841350,0.251093,0.546222
13,0.837512,0.209091,0.523302
14,0.900877,0.351955,0.626416
15,0.927325,0.483771,0.705548
16,0.856029,0.095153,0.475591
17,0.849492,0.102815,0.476153
18,0.913952,0.441081,0.677516
19,0.836084,0.043906,0.439995
20,0.847576,0.080302,0.463939
21,0.900461,0.248616,0.574539
22,0.886503,0.384147,0.635325
23,0.868402,0.103887,0.486145
24,0.918516,0.313193,0.615854
25,0.899243,0.163287,0.531265
26,0.870057,0.065482,0.467770
27,0.917626,0.282107,0.599867
28,0.913109,0.296826,0.604967
29,0.911368,0.356657,0.634012
30,0.885038,0.230483,0.557761
31,0.837486,0.181974,0.509730
32,0.908580,0.418072,0.663326
33,0.893430,0.082631,0.488030
34,0.902763,0.339346,0.621054
35,0.928776,0.371082,0.649929
36,0.844174,0.088362,0.466268
37,0.842075,0.193565,0.517820
38,0.918416,0.373609,0.646012
39,0.859377,0.086864,0.473121
40,0.842799,0.093967,0.468383
41,0.846994,0.105200,0.476097
42,0.862055,0.094022,0.478039
43,0.927428,0.476854,0.702141
44,0.838781,0.118842,0.478811
45,0.816028,0.148444,0.482236
46,0.846438,0.168409,0.507423
47,0.827718,0.130812,0.479265
48,0.842380,0.129367,0.485873
49,0.849323,0.081177,0.465250
50,0.914018,0.264407,0.589212
51,0.910561,0.247725,0.579143
52,0.842846,0.126611,0.484728
53,0.855422,0.100256,0.477839
54,0.910784,0.296441,0.603613
55,0.900610,0.138575,0.519592
56,0.898574,0.299239,0.598907
57,0.901990,0.241273,0.571632
58,0.878155,0.132917,0.505536
59,0.852320,0.149373,0.500847
60,0.917838,0.331595,0.624716
mean,0.877156,0.208652,0.542904
