index,iou0,iou1,miou
0,0.934905,0.146782,0.540844
1,0.947197,0.422356,0.684776
2,0.951548,0.490875,0.721212
3,0.931621,0.111004,0.521313
4,0.923643,0.041003,0.482323
5,0.925817,0.022513,0.474165
6,0.938739,0.039751,0.489245
7,0.951431,0.015996,0.483714
8,0.958882,0.350762,0.654822
9,0.969163,0.000000,0.484581
10,0.930018,0.246780,0.588399
11,0.949431,0.377847,0.663639
12,0.919809,0.303056,0.611433
13,0.900678,0.047463,0.474070
14,0.898820,0.042638,0.470729
15,0.950084,0.489899,0.719992
16,0.931693,0.000182,0.465937
17,0.942623,0.319858,0.631240
18,0.878743,0.045968,0.462355
19,0.936432,0.252082,0.594257
20,0.963972,0.348996,0.656484
21,0.937793,0.046418,0.492105
22,0.882659,0.045444,0.464052
23,0.955900,0.382319,0.669109
24,0.948546,0.323847,0.636197
25,0.950213,0.062884,0.506548
26,0.963003,0.016535,0.489769
27,0.944442,0.051466,0.497954
28,0.913136,0.038602,0.475869
29,0.951722,0.448294,0.700008
30,0.915795,0.049588,0.482692
31,0.954640,0.495158,0.724899
32,0.938277,0.400231,0.669254
33,0.949995,0.026979,0.488487
34,0.925650,0.285639,0.605645
35,0.955366,0.353422,0.654394
36,0.952830,0.326921,0.639876
37,0.908027,0.046910,0.477469
38,0.926452,0.082400,0.504426
39,0.944885,0.278864,0.611874
40,0.933347,0.282550,0.607949
41,0.919200,0.068502,0.493851
42,0.937814,0.066387,0.502101
43,0.952054,0.505164,0.728609
44,0.894089,0.010173,0.452131
45,0.935588,0.428911,0.682249
46,0.946512,0.407580,0.677046
47,0.956845,0.523697,0.740271
48,0.908930,0.032566,0.470748
49,0.929042,0.008235,0.468639
50,0.947430,0.015632,0.481531
51,0.947295,0.021245,0.484270
52,0.938511,0.363362,0.650937
53,0.941324,0.082002,0.511663
54,0.939270,0.292054,0.615662
55,0.947932,0.212051,0.579991
56,0.918623,0.061995,0.490309
57,0.950818,0.346282,0.648550
58,0.961954,0.487214,0.724584
59,0.907785,0.056370,0.482077
60,0.920792,0.043387,0.482090
mean,0.935897,0.199887,0.567892
