index,iou0,iou1,miou
0,0.921471,0.091373,0.506422
1,0.945438,0.464235,0.704836
2,0.879888,0.106263,0.493076
3,0.897650,0.130870,0.514260
4,0.935526,0.412311,0.673918
5,0.940672,0.431913,0.686293
6,0.883293,0.043499,0.463396
7,0.948388,0.263196,0.605792
8,0.905840,0.024932,0.465386
9,0.928226,0.000157,0.464192
10,0.904342,0.251301,0.577822
11,0.894565,0.114693,0.504629
12,0.929048,0.446964,0.688006
13,0.884570,0.152268,0.518419
14,0.916919,0.344000,0.630460
15,0.884364,0.086611,0.485487
16,0.919213,0.035081,0.477147
17,0.909633,0.035090,0.472362
18,0.874460,0.096160,0.485310
19,0.912321,0.027388,0.469854
20,0.940027,0.306032,0.623029
21,0.928624,0.273782,0.601203
22,0.843197,0.098812,0.471005
23,0.911350,0.066362,0.488856
24,0.945928,0.366257,0.656092
25,0.930480,0.188521,0.559501
26,0.945997,0.035107,0.490552
27,0.930399,0.078656,0.504527
28,0.928499,0.312538,0.620518
29,0.930074,0.380308,0.655191
30,0.879012,0.035777,0.457395
31,0.937346,0.446915,0.692131
32,0.924143,0.409743,0.666943
33,0.919700,0.000169,0.459935
34,0.915593,0.347575,0.631584
35,0.910062,0.080015,0.495039
36,0.911036,0.045428,0.478232
37,0.885746,0.102551,0.494148
38,0.936900,0.385894,0.661397
39,0.916530,0.083899,0.500214
40,0.892147,0.075202,0.483675
41,0.933462,0.377864,0.655663
42,0.931951,0.289698,0.610824
43,0.942867,0.497315,0.720091
44,0.941261,0.482063,0.711662
45,0.941329,0.528284,0.734806
46,0.882950,0.107634,0.495292
47,0.879329,0.124886,0.502107
48,0.891709,0.090105,0.490907
49,0.910292,0.075243,0.492767
50,0.944496,0.325962,0.635229
51,0.935863,0.261241,0.598552
52,0.868507,0.070018,0.469262
53,0.925784,0.258486,0.592135
54,0.902763,0.087735,0.495249
55,0.921343,0.044828,0.483085
56,0.878089,0.065756,0.471923
57,0.900872,0.069716,0.485294
58,0.925705,0.075228,0.500466
59,0.944339,0.475106,0.709723
60,0.909394,0.099503,0.504448
mean,0.914605,0.198107,0.556356
