index,iou0,iou1,miou
0,0.924487,0.268345,0.596416
1,0.924490,0.115899,0.520194
2,0.914652,0.107041,0.510847
3,0.929984,0.133054,0.531519
4,0.941608,0.348136,0.644872
5,0.950649,0.401894,0.676271
6,0.930378,0.010131,0.470255
7,0.948557,0.014625,0.481591
8,0.950682,0.297013,0.623847
9,0.944774,0.097378,0.521076
10,0.927624,0.021444,0.474534
11,0.942130,0.318459,0.630294
12,0.893284,0.088885,0.491085
13,0.927252,0.302711,0.614982
14,0.928108,0.311996,0.620052
15,0.950653,0.507539,0.729096
16,0.960248,0.430045,0.695146
17,0.926528,0.007622,0.467075
18,0.881579,0.042181,0.461880
19,0.936945,0.249464,0.593205
20,0.944233,0.020278,0.482255
21,0.934248,0.032098,0.483173
22,0.912166,0.313404,0.612785
23,0.935749,0.027975,0.481862
24,0.933275,0.104103,0.518689
25,0.942527,0.092324,0.517426
26,0.954339,0.254493,0.604416
27,0.943437,0.137173,0.540305
28,0.921803,0.058462,0.490133
29,0.947009,0.436832,0.691921
30,0.916307,0.027719,0.472013
31,0.946566,0.454886,0.700726
32,0.934269,0.391586,0.662928
33,0.934579,0.071774,0.503176
34,0.922367,0.295784,0.609075
35,0.956908,0.408279,0.682593
36,0.951252,0.337979,0.644616
37,0.947763,0.474769,0.711266
38,0.918458,0.055537,0.486998
39,0.943745,0.283068,0.613407
40,0.919372,0.072657,0.496014
41,0.937209,0.329051,0.633130
42,0.944617,0.294119,0.619368
43,0.951449,0.486290,0.718870
44,0.894665,0.017543,0.456104
45,0.892462,0.033802,0.463132
46,0.943423,0.407363,0.675393
47,0.911853,0.026380,0.469117
48,0.954288,0.478482,0.716385
49,0.944835,0.297511,0.621173
50,0.954657,0.312039,0.633348
51,0.954177,0.311247,0.632712
52,0.936259,0.367764,0.652011
53,0.955556,0.300091,0.627823
54,0.941410,0.328416,0.634913
55,0.962155,0.014866,0.488511
56,0.930915,0.307934,0.619425
57,0.947454,0.331144,0.639299
58,0.959027,0.480361,0.719694
59,0.904403,0.058381,0.481392
60,0.946773,0.379306,0.663040
mean,0.935452,0.229297,0.582375
